stage,cca_corr1_mean,cca_corr1_std,cca_corr1_count,cca_corr2_mean,cca_corr2_std,cca_corr2_count
N1,0.6023161457200381,0.1260874505323725,29,0.41357559679784645,0.1326487797145819,29
N2,0.7447764446068749,0.10436473974704993,29,0.5269550547824619,0.10912001635494491,29
N3,0.8507402409891345,0.05712053754152407,20,0.6246422246132864,0.10189607943184069,20
R,0.6133475970779346,0.12571284343149203,29,0.38782786966506316,0.1174987901656809,29
W,0.48665715190280556,0.12859542560887569,29,0.3077010639535598,0.14324616004340596,29
