projection,stage,mean,std,skewness,kurtosis,count
Xc_1,N1,-0.0015816777756208094,1.0203223832125623,-0.007946654397332484,22.515580930751376,85500
Xc_1,N2,0.003073743601361153,0.9635887624424813,0.08586515571583696,7.920072657074764,429780
Xc_1,N3,0.0005109389675395237,0.9427725615414176,0.043594752442993705,1.6636283810306125,36360
Xc_1,R,-0.002348430156689941,0.8961735013135769,-0.1558091172403733,14.747267690569075,128880
Xc_1,W,-0.0003202632271376765,1.0345935468735243,-0.1046871835475851,23.627506554825796,185460
Xc_2,N1,0.0028298563710612195,0.8853079464335248,0.038489940066918076,17.399232267375623,85500
Xc_2,N2,-0.0006836560611425571,0.890412677281612,0.010109702330838981,7.75371722453106,429780
Xc_2,N3,0.006852120030047872,0.9191069857240586,-0.05484488305404696,1.2665054392529003,36360
Xc_2,R,-0.0005651843693455207,0.8445342934245047,0.08522224214374248,18.697514647392943,128880
Xc_2,W,-0.0015184145582607853,0.9915247427953535,-0.050086376614026006,22.865818313085168,185460
Yc_1,N1,-0.0013136406701077577,1.040386084461661,0.10122523711022843,12.086135866871569,85500
Yc_1,N2,0.002631505623453504,1.0023086442600289,0.06375109084406373,7.778833348624852,429780
Yc_1,N3,0.0027957283481985042,0.9377532155460335,0.05100422440633863,1.6421883520497635,36360
Yc_1,R,-0.0006784338629121776,1.0058205018879636,-0.21739019246001465,21.627701379243778,128880
Yc_1,W,0.0018078543492969464,1.0097405735910756,-0.08861566538064275,13.481222076596548,185460
Yc_2,N1,-0.0008733031805365103,0.9240013185102232,0.18540257072695165,17.757397813088836,85500
Yc_2,N2,-0.0005762580099935007,0.9666505191788068,-0.017950060614054044,11.208554236810263,429780
Yc_2,N3,-0.0007624014994069378,1.0218672856212296,-0.09192013264700337,1.2961772950624582,36360
Yc_2,R,-0.0011922066487864533,0.797022313335832,-0.09159806735261773,36.620785111282785,128880
Yc_2,W,-0.0017005552191265447,0.9231145925845622,-0.046668160875737705,22.5873786415504,185460
