subject,stage,cca_corr1,cca_corr2,Xc1_mean,Xc1_std,Xc1_25p,Xc1_median,Xc1_75p,Xc2_mean,Xc2_std,Xc2_25p,Xc2_median,Xc2_75p,Yc1_mean,Yc1_std,Yc1_25p,Yc1_median,Yc1_75p,Yc2_mean,Yc2_std,Yc2_25p,Yc2_median,Yc2_75p
apples-160288.edf,W,0.45465081718381584,0.2328257692647517,-1.792360054169622e-18,1.1442788942119715,-0.18275686181827636,-0.0002556334040022983,0.1960252877881447,-8.705748834538165e-19,0.9687993864061428,-0.19213836640041349,-0.031165532993624553,0.22889881758713612,-1.6131240487526599e-18,0.8951592694028405,-0.0906336797066461,0.002977562017876097,0.10098055235852207,-9.217851707158056e-19,1.0216455635187802,-0.11215905005517214,-0.0014973051565363772,0.10459754365450918
apples-160288.edf,N1,0.49566998407342905,0.20779563407372917,-8.550197586979873e-18,0.913758327518466,-0.4878201895829511,-0.0044322675274668715,0.479035330280664,1.7763568394002505e-18,1.032300484061969,-0.48716776270275486,-0.002294374552139983,0.4820527328630609,7.152796873318341e-18,1.0177965283165589,-0.4728995319632114,0.0003127777917694513,0.4627519409052189,-2.7474319116057207e-18,0.914510127737461,-0.3993991217163137,-0.009083504961623528,0.3926488183794882
apples-160288.edf,N2,0.6463896184116688,0.33297514599374994,-8.445016888102122e-18,1.0248220804828228,-0.6022985617991923,-0.02269051144705341,0.5752861238823905,-1.2030838292941624e-17,0.6253870098865141,-0.3180664330905369,0.01031216593334884,0.32631838208367575,-1.2530000931683486e-18,0.9504049825805162,-0.46899548568996113,-0.01751100954702088,0.43494880670436475,6.07144760592143e-18,0.8228987522958945,-0.4381620819270283,0.01215137559924594,0.44887265152230715
apples-160288.edf,R,0.44432593508719903,0.17375402835928122,-2.5370351939852726e-18,0.7357819378177076,-0.4197134824883422,-0.0033819202917514013,0.41793579901233646,1.1150853152439528e-18,0.9229757089637941,-0.5165291820312788,0.007847588593864592,0.523231801187364,-1.050254773660002e-17,0.8125816337016907,-0.4340232459572776,0.002400800694528746,0.4377323533320298,3.5613577510116945e-18,1.0799471644228367,-0.45067513518326974,0.001960041759375173,0.464741134197441
apples-150142.edf,W,0.4514545889193373,0.2792685887428049,-3.238528115369164e-18,1.1431919207643257,-0.4479726514301286,-0.021424929208378976,0.44394203856426945,-2.6101569885064903e-18,1.1551783804277713,-0.4708130270688756,-0.002042151839083759,0.4751135568020497,1.254929644705551e-17,1.0408757710671936,-0.3765483368019825,-0.0062568316763874105,0.37731352586576283,-1.1987387650918697e-17,0.9338907259385361,-0.29192389710411504,-0.0002074382653806359,0.2947410498930446
apples-150142.edf,N1,0.6476440238555466,0.41873486015023176,-8.003814724654001e-18,1.1114754442071924,-0.5487208501457617,0.031837518204358456,0.5712913291175058,7.731576128577335e-18,0.7960191098047249,-0.4425202081662558,-0.008922025838441185,0.43388327447543573,2.3956996454746673e-17,1.031484746315276,-0.482330124567551,0.034202400283569134,0.5128066781014495,3.920235783504001e-18,0.9662638753568427,-0.47016850299204627,-0.011993493374655741,0.45637279950387066
apples-150142.edf,N2,0.829321850334423,0.5603928626457259,2.0928007353808414e-17,1.0728270756707563,-0.6062922102852852,-0.0210559954689903,0.5957130203510297,-1.144633871596052e-17,0.7911031856923325,-0.4526729981394313,0.008976335288887288,0.4609017900674056,2.391772269006676e-17,1.0206681453973883,-0.5646487518565924,-0.018995510191444374,0.5560007889439006,5.991078914086528e-18,0.9788168045621366,-0.5322804809272145,0.023828133205552052,0.5625642399961975
apples-150142.edf,N3,0.8388554173745336,0.5592254434054553,-8.289665250534503e-18,1.100074983979223,-0.6682795659651741,0.033364923389735714,0.6863722371623984,7.47550169914272e-18,0.8748221255403725,-0.5566412989608818,-0.0011200742951168858,0.5613949027396204,-4.440892098500626e-18,1.0082996142221274,-0.589589123114308,0.032098792111904854,0.6183755285776282,2.6349293117770383e-17,0.9915598753203986,-0.619936241618889,0.017042498502993643,0.6309275578877607
apples-150142.edf,R,0.5061869330763024,0.3930580280738553,1.5656547727354588e-17,0.952779836508025,-0.5674442719578805,-0.04426334654374012,0.5206877256658404,-1.3657185050973355e-17,0.709387282613591,-0.409953518385749,0.004665771918268835,0.41413483419037933,9.012511756610795e-18,0.6886255718594576,-0.29969310796983795,-0.025709608679703497,0.2748006061488072,-4.552395016991118e-18,0.9042734829162572,-0.438269153989864,0.01027037909290636,0.4376099529266036
apples-240089.edf,W,0.4181493868731451,0.3360157584085288,-6.60847038467355e-19,1.125138186697602,-0.2773166344747747,0.009536328292134596,0.293688203130325,1.2688263138573217e-17,1.1488415341029434,-0.3237668140416149,0.0068172840893109925,0.3361634859426273,4.906128413581644e-18,1.2438197382078988,-0.431857405364907,0.01758044009119981,0.47370205591249753,-8.966372617925073e-18,0.6553119695729112,-0.14053988122434072,-0.0006754329316772298,0.14162399488821992
apples-240089.edf,N1,0.44052742710369164,0.30436335676146264,-4.561508920929038e-18,1.0019433699773086,-0.3351489844292141,0.0030359206819362767,0.3394936334144526,9.210739167260558e-18,0.8591158327273368,-0.2544003493116835,0.011695797411430866,0.27105809254002705,-4.912394222538964e-18,1.21699131280684,-0.5325370849302895,0.0056335758276476,0.5494499626901421,-6.315935428978669e-18,0.7189251804456155,-0.2661236068417727,0.007106098371974361,0.27523317834213934
apples-240089.edf,N2,0.7842615512063289,0.48661944699747567,-1.2258347794953222e-17,0.9655211553490505,-0.4740487461096481,0.006405315008775055,0.48273260711357724,-7.979810891451543e-18,0.818398279813737,-0.42017286976285867,0.02588308682391862,0.4458941877654313,-1.8744066434388307e-17,0.9949085819906175,-0.4725356574328132,0.006927040808148392,0.4797010223802637,3.124011072398051e-18,1.0050608914888894,-0.43989459876900716,0.024739593089414758,0.477814213484431
apples-240089.edf,N3,0.8290114763412939,0.5265053064548179,-1.0658141036401503e-17,0.9659919621903293,-0.5808845722727327,0.006169251122697403,0.597192043558777,-1.9184653865522706e-17,0.774307673481625,-0.4649306981869418,0.011622641520848312,0.47841921945371046,1.223712489364617e-17,0.9803522099713317,-0.5820006617501998,0.021290259762639673,0.5911480140151694,6.000138657529735e-18,1.0192366445917669,-0.6067846871172592,0.015638762833515826,0.6146212141988496
apples-240089.edf,R,0.7454384286343995,0.06728564695148996,-8.53147298783506e-18,1.0187239258094605,-0.40635523367392634,0.008334084167298049,0.4194848182780725,1.8848603112658854e-18,0.7979355855183277,-0.38422919750052176,0.010593797360414256,0.3951858604246237,6.745815850846326e-18,0.8649785910670146,-0.20273070839115614,0.0042009992815076995,0.21692520718008745,-8.53147298783506e-18,0.4956646351449137,-0.21062491921555548,0.0012855898052151209,0.21204279760104522
apples-150141.edf,W,0.7439559782598577,0.3431696446722535,0.0,1.2513791026706635,-0.33569714225701663,0.01061490283530905,0.3504687915851715,2.8655632964810626e-18,1.1135956121186619,-0.38581153173768495,-0.007938776926548666,0.38369659836503417,2.1832863211284285e-18,0.9868433276938999,-0.2894019159796336,0.010223220693603208,0.3045681095979715,2.5341716227383544e-18,0.9969130717307444,-0.4120925622475635,-0.01719847574413901,0.381210216529429
