subject,stage,component,explained_variance_Xc,explained_variance_Yc
apples-140075,N1,1,0.6487885026021998,0.6992604125273557
apples-140075,N1,2,0.3512114973978002,0.3007395874726443
apples-160217,W,1,0.45110322064408853,0.6047492048528091
apples-160217,W,2,0.5488967793559115,0.3952507951471909
apples-240091,R,1,0.443314378084302,0.9299682907593283
apples-240091,R,2,0.5566856219156979,0.07003170924067185
apples-240090,W,1,0.5923523807807922,0.4581724892029116
apples-240090,W,2,0.4076476192192078,0.5418275107970885
apples-140003,N3,1,0.5846573962662867,0.4916500315730499
apples-140003,N3,2,0.4153426037337133,0.5083499684269502
apples-140012,N3,1,0.5321830685883726,0.4387964777507819
apples-140012,N3,2,0.4678169314116274,0.5612035222492181
apples-170369,N2,1,0.4035217222731805,0.5172015397736603
apples-170369,N2,2,0.5964782777268194,0.4827984602263397
apples-140011,N2,1,0.5860605775944389,0.510165263371214
apples-140011,N2,2,0.41393942240556114,0.4898347366287859
apples-140008,W,1,0.6334378419197696,0.458106208142737
apples-140008,W,2,0.3665621580802305,0.541893791857263
apples-140009,N2,1,0.376780524333127,0.46114096901009893
apples-140009,N2,2,0.6232194756668731,0.538859030989901
apples-150142,W,1,0.44461310308978125,0.5062719797959828
apples-150142,W,2,0.5553868969102187,0.4937280202040172
apples-140074,N2,1,0.4308926636446268,0.4941242433864499
apples-140074,N2,2,0.5691073363553733,0.50587575661355
apples-240091,N1,1,0.6143609486602362,0.7971330360274368
apples-240091,N1,2,0.3856390513397637,0.20286696397256318
apples-150141,N2,1,0.715150279285012,0.47830454482620793
apples-150141,N2,2,0.2848497207149881,0.521695455173792
apples-140007,N3,1,0.3046677163508968,0.5103255277191538
apples-140007,N3,2,0.6953322836491034,0.48967447228084626
apples-240089,N3,1,0.6637879390301433,0.47376710335402333
apples-240089,N3,2,0.33621206096985656,0.5262328966459766
apples-240023,N2,1,0.6733784699590607,0.5789790820598282
apples-240023,N2,2,0.3266215300409394,0.4210209179401718
apples-140003,N1,1,0.5443652406582183,0.5648142309325266
apples-140003,N1,2,0.4556347593417816,0.4351857690674734
apples-140007,N2,1,0.5490397409039259,0.620344258095907
apples-140007,N2,2,0.450960259096074,0.3796557419040931
apples-240090,N3,1,0.5227512239967169,0.47933884862778303
apples-240090,N3,2,0.4772487760032831,0.5206611513722169
apples-150142,N3,1,0.6180939453237793,0.5023947373678112
apples-150142,N3,2,0.38190605467622074,0.49760526263218896
apples-130001,N2,1,0.8398749524468634,0.7708961535869759
apples-130001,N2,2,0.16012504755313667,0.22910384641302411
apples-160217,N1,1,0.4400576385745742,0.5005613755854159
apples-160217,N1,2,0.5599423614254257,0.49943862441458403
apples-160288,W,1,0.4442664257071094,0.49004750463122554
apples-160288,W,2,0.5557335742928907,0.5099524953687744
apples-140009,W,1,0.6250284466058265,0.4950929607093409
apples-140009,W,2,0.37497155339417343,0.5049070392906592
apples-150140,W,1,0.5121828981517823,0.3360374006337956
apples-150140,W,2,0.48781710184821764,0.6639625993662044
apples-170368,N1,1,0.5788990559471724,0.6020648183461617
apples-170368,N1,2,0.4211009440528275,0.3979351816538384
apples-150141,N1,1,0.7054347912749833,0.4872518213991783
apples-150141,N1,2,0.29456520872501674,0.5127481786008217
apples-160288,N1,1,0.48398894213559795,0.5615168830608128
apples-160288,N1,2,0.516011057864402,0.43848311693918723
apples-160288,R,1,0.49532186916458126,0.35401213146883154
apples-160288,R,2,0.5046781308354188,0.6459878685311685
apples-140009,N3,1,0.21623270797902924,0.29653209248597984
apples-140009,N3,2,0.7837672920209706,0.7034679075140201
apples-160215,W,1,0.49372799951647145,0.519010378314718
apples-160215,W,2,0.5062720004835286,0.4809896216852821
