time_s,raw_uV,preproc_uV
5431.34,-612745.0980391984,-3775237.00823444
5431.35,-5514705.882352928,-4287233.2873907
5431.36,3063725.490196077,-4911008.897591078
5431.37,-3063725.490196077,-5264254.331298946
5431.38,-7965686.274509807,-5146841.814659674
5431.39,-6740196.078431353,-4637747.107761514
5431.4,-6740196.078431353,-4044095.6618605074
5431.41,17769607.843137264,-3756061.933456965
5431.42,-7965686.274509807,-4057284.544759071
5431.43,-5514705.882352928,-4976985.763136558
5431.44,-12867647.058823507,-6243099.878274106
5431.45,-11642156.862745082,-7359478.404882749
5431.46,5514705.882352957,-7781388.022207615
5431.47,-5514705.882352928,-7131757.839862671
5431.48,-1838235.2941176237,-5368719.18588808
5431.49,-612745.0980391984,-2842522.259629342
5431.5,-612745.0980391984,-208093.15273456398
5431.51,612745.0980392268,1778535.6827799454
5431.52,3063725.490196077,2508635.971928971
5431.53,3063725.490196077,1727035.285629028
5431.54,1838235.294117652,-367503.817494911
5431.55,-1838235.2941176237,-3191756.7140935566
5431.56,-612745.0980391984,-5974901.089348933
5431.57,-7965686.274509807,-8018512.940106632
5431.58,-3063725.490196077,-8918964.571961515
5431.59,-5514705.882352928,-8688191.688642925
5431.6,-14093137.25490196,-7703033.552249003
5431.61,-11642156.862745082,-6525393.389012033
5431.62,1838235.294117652,-5653472.739805366
5431.63,-11642156.862745082,-5300016.958976477
5431.64,18995098.03921569,-5304558.7265731655
5431.65,-11642156.862745082,-5205693.529220699
5431.66,-612745.0980391984,-4453182.9154986655
5431.67,-9191176.470588231,-2669420.494662363
5431.68,1838235.294117652,139818.07477287223
5431.69,-3063725.490196077,3523189.557761424
5431.7,9191176.470588261,6694883.90049963
5431.71,23897058.82352942,8811548.678533185
5431.72,16544117.64705884,9272911.189812323
5431.73,3063725.490196077,7945888.877821774
5431.74,1838235.294117652,5236319.701057369
5431.75,1838235.294117652,1959654.9819543494
5431.76,612745.0980392268,-929918.619304571
5431.77,-1838235.2941176237,-2657635.6283884034
5431.78,4289215.686274531,-2885904.412494574
5431.79,-3063725.490196077,-1788899.873260207
5431.8,3063725.490196077,50077.74408503441
5431.81,3063725.490196077,1885168.4789433144
5431.82,12867647.058823535,3093698.938566235
5431.83,-7965686.274509807,3399923.720146049
5431.84,14093137.25490196,2948430.213577005
