time_s,raw_uV,preproc_uV
5430.68,-6740196.078431353,-8532247.27866694
5430.69,-12867647.058823507,-12506788.148414796
5430.7,-17769607.84313724,-18753903.59021635
5430.71,-17769607.84313724,-18254215.549773127
5430.72,-16544117.647058811,-16839855.130739193
5430.73,-14093137.25490196,-15015011.064361382
5430.74,-12867647.058823507,-13032915.374756072
5430.75,-11642156.862745082,-12475316.797732316
5430.76,-11642156.862745082,-12054136.40242878
5430.77,-10416666.666666657,-10955054.848707573
5430.78,-5514705.882352928,-6218375.880682303
5430.79,-3063725.490196077,-3364314.8622417552
5430.8,-6740196.078431353,-7616217.465354749
5430.81,-9191176.470588231,-9468783.819682587
5430.82,-5514705.882352928,-6212989.229529383
5430.83,-3063725.490196077,-3745564.2662552623
5430.84,-4289215.686274502,-4414493.834182634
5430.85,-5514705.882352928,-6844430.943469129
5430.86,-3063725.490196077,-2613671.101433165
5430.87,3063725.490196077,1292298.6694049842
5430.88,-6740196.078431353,-6014736.034677197
5430.89,-7965686.274509807,-9939868.620770032
5430.9,-12867647.058823507,-11896668.2562711
5430.91,-14093137.25490196,-16430013.7050743
5430.92,-10416666.666666657,-8999302.582488414
5430.93,-5514705.882352928,-8278932.294463526
5430.94,-22671568.627450965,-21042061.32039385
5430.95,-14093137.25490196,-16700943.558369765
5430.96,-4289215.686274502,-3232337.2538353438
5430.97,612745.0980392268,-1117050.8563038835
5430.98,-3063725.490196077,-3020864.742176081
5430.99,-1838235.2941176237,-2606875.2881608405
5431.0,4289215.686274531,3551595.994812415
5431.01,12867647.058823535,12629301.129194308
5431.02,17769607.843137264,16692334.514894582
5431.03,17769607.843137264,17715606.59711742
5431.04,18995098.03921569,17875363.281520896
5431.05,14093137.25490196,13876596.3993977
5431.06,5514705.882352957,4853219.4089474175
5431.07,1838235.294117652,861137.9884221648
5431.08,5514705.882352957,5852954.451093604
5431.09,6740196.078431382,4690345.1415701145
5431.1,-4289215.686274502,-3077178.1875332682
5431.11,-4289215.686274502,-6784358.949134028
5431.12,-9191176.470588231,-8035791.913669988
5431.13,-6740196.078431353,-8725672.410629127
5431.14,-10416666.666666657,-10014907.307850081
5431.15,-4289215.686274502,-5572160.660741801
5431.16,5514705.882352957,5521544.295701903
5431.17,9191176.470588261,7871329.807681585
5431.18,3063725.490196077,3485388.242705481
5431.19,5514705.882352957,3589502.1025044178
5431.2,6740196.078431382,7707786.152303843
5431.21,14093137.25490196,11932057.321108263
5431.22,11642156.86274511,12399450.741811039
5431.23,12867647.058823535,11348217.64454135
5431.24,11642156.86274511,11448691.419137955
5431.25,10416666.666666687,9956275.897639966
5431.26,5514705.882352957,4325338.226490392
5431.27,-3063725.490196077,-2726061.747241294
5431.28,-3063725.490196077,-4771230.162797119
5431.29,-4289215.686274502,-3687039.803471109
5431.3,-1838235.2941176237,-3583125.720802756
5431.31,-4289215.686274502,-3862246.9388196487
5431.32,-5514705.882352928,-6909859.196609426
5431.33,-9191176.470588231,-9245011.669015072
5431.34,-4289215.686274502,-5122560.801834087
5431.35,612745.0980392268,12607.3330073051
5431.36,3063725.490196077,2683022.8937673373
5431.37,5514705.882352957,4625753.297261782
5431.38,6740196.078431382,6453117.17399855
5431.39,10416666.666666687,9548833.122291032
5431.4,10416666.666666687,10074225.025119243
5431.41,9191176.470588261,8319424.031123405
5431.42,9191176.470588261,8954417.229512315
5431.43,7965686.274509807,6904740.114119246
5431.44,3063725.490196077,3030458.504985293
5431.45,3063725.490196077,1879658.419604218
5431.46,1838235.294117652,1801047.1139690313
5431.47,5514705.882352957,4402864.277941476
5431.48,4289215.686274531,4180614.294048551
5431.49,612745.0980392268,-523041.0844905162
5431.5,-1838235.2941176237,-1800845.2291105285
5431.51,-1838235.2941176237,-3155755.2714931457
5431.52,-3063725.490196077,-2939714.9514272814
5431.53,4289215.686274531,3163373.505115617
5431.54,9191176.470588261,8738112.671092432
5431.55,10416666.666666687,10171473.764610194
5431.56,6740196.078431382,5312140.210170752
5431.57,612745.0980392268,1160630.6145961564
5431.58,4289215.686274531,2543587.754866518
5431.59,612745.0980392268,893616.8377733051
5431.6,-1838235.2941176237,-2799181.476639757
5431.61,-3063725.490196077,-3815476.8674578276
5431.62,612745.0980392268,591539.3572233443
5431.63,5514705.882352957,4206400.604577605
5431.64,-3063725.490196077,-3058361.8343773037
5431.65,-6740196.078431353,-7620889.452240471
5431.66,-3063725.490196077,-3695648.0445916187
5431.67,-4289215.686274502,-4615269.48216994
5431.68,-9191176.470588231,-10052723.514326075
5431.69,-6740196.078431353,-7246908.364432762
5431.7,7965686.274509807,7577597.777059294
5431.71,14093137.25490196,12991587.81996235
5431.72,1838235.294117652,1873789.3905714755
5431.73,-1838235.2941176237,-2996375.007562579
5431.74,1838235.294117652,1576002.5247457575
5431.75,5514705.882352957,4888858.8128394345
5431.76,6740196.078431382,5966673.232465716
5431.77,7965686.274509807,7555576.153845917
5431.78,9191176.470588261,8674995.281771839
5431.79,7965686.274509807,6854450.018123276
5431.8,5514705.882352957,5944716.218756539
5431.81,7965686.274509807,6009772.874914447
5431.82,5514705.882352957,6337752.894443151
5431.83,5514705.882352957,3848344.3637388437
5431.84,-1838235.2941176237,-1960313.5608712377
5431.85,612745.0980392268,288100.03355549043
5431.86,3063725.490196077,1626171.4860178425
5431.87,-5514705.882352928,-4967482.028849311
5431.88,-9191176.470588231,-10775970.547796113
5431.89,-18995098.03921569,-19001866.72170823
5431.9,-18995098.03921569,-19552720.778889433
5431.91,-12867647.058823507,-13923574.138695532
5431.92,-17769607.84313724,-17653225.98360724
5431.93,-16544117.647058811,-17686842.045064792
5431.94,-10416666.666666657,-10734646.442490894
5431.95,-5514705.882352928,-5985767.90663321
5431.96,612745.0980392268,-238439.63784567412
5431.97,9191176.470588261,8800264.216430323
5431.98,14093137.25490196,13675743.727402333
5431.99,7965686.274509807,6783965.307145739
5432.0,3063725.490196077,3441370.7294158614
5432.01,9191176.470588261,7590331.226153122
5432.02,5514705.882352957,5747619.090430349
5432.03,5514705.882352957,4607634.614638151
5432.04,4289215.686274531,3527245.138363645
5432.05,3063725.490196077,3104992.2567417556
5432.06,10416666.666666687,9067999.175251706
5432.07,5514705.882352957,5630868.571995718
5432.08,-3063725.490196077,-4054497.1043680026
5432.09,-4289215.686274502,-4712543.771081945
5432.1,-612745.0980391984,-1149609.461116885
5432.11,3063725.490196077,2483414.562864244
5432.12,6740196.078431382,6006146.192734232
5432.13,7965686.274509807,7824773.028384145
5432.14,7965686.274509807,6745321.682396635
5432.15,7965686.274509807,8213434.780629388
5432.16,14093137.25490196,12678002.009141365
5432.17,6740196.078431382,7055415.082080898
5432.18,1838235.294117652,390619.0785982726
5432.19,5514705.882352957,5955946.903695635
5432.2,11642156.86274511,9947159.202368787
5432.21,7965686.274509807,8711553.635886425
5432.22,10416666.666666687,8473154.26356263
5432.23,6740196.078431382,7564569.737645402
5432.24,7965686.274509807,6179459.361581366
5432.25,1838235.294117652,2312534.4242228605
5432.26,1838235.294117652,543699.5354241985
5432.27,4289215.686274531,4235831.5051703295
5432.28,3063725.490196077,2253297.3933759457
5432.29,-1838235.2941176237,-2310984.9443005966
5432.3,-612745.0980391984,-1052332.3129118467
5432.31,-612745.0980391984,-1387879.2529642838
5432.32,-1838235.2941176237,-2052504.7361255845
5432.33,3063725.490196077,2203511.136392632
5432.34,6740196.078431382,6429109.666215819
5432.35,7965686.274509807,7396000.559050332
5432.36,6740196.078431382,6009655.034365911
5432.37,6740196.078431382,6608313.51066234
5432.38,10416666.666666687,9361861.973472646
5432.39,7965686.274509807,7927708.031798402
5432.4,3063725.490196077,2211239.592378665
5432.41,-1838235.2941176237,-2308695.9958184804
5432.42,-612745.0980391984,-860270.7851436107
5432.43,4289215.686274531,3206637.833725488
5432.44,612745.0980392268,851517.7758226776
5432.45,-4289215.686274502,-5640267.37240423
5432.46,-7965686.274509807,-7725419.148535165
5432.47,-6740196.078431353,-7812388.763326833
5432.48,-10416666.666666657,-10655309.352231568
5432.49,-12867647.058823507,-13365963.746133737
5432.5,-14093137.25490196,-14856435.81155964
5432.51,-14093137.25490196,-14230129.229475666
5432.52,-9191176.470588231,-10092043.169231893
5432.53,-5514705.882352928,-5734271.912305932
5432.54,-1838235.2941176237,-2554740.2084242064
5432.55,-1838235.2941176237,-2183497.340050091
5432.56,-612745.0980391984,-1407101.153267086
5432.57,3063725.490196077,3065015.9913800717
5432.58,6740196.078431382,5393777.000285899
5432.59,9191176.470588261,9748418.522341205
5432.6,20220588.235294145,18534067.756158423
5432.61,21446078.431372568,21884661.571213994
5432.62,17769607.843137264,16726284.416561939
5432.63,9191176.470588261,8584201.873104695
5432.64,5514705.882352957,5682668.155666107
5432.65,6740196.078431382,5092251.606770363
5432.66,3063725.490196077,3852042.9318778757
5432.67,7965686.274509807,6235883.742747829
5432.68,5514705.882352957,5896603.772547496
5432.69,5514705.882352957,4498260.910560245
5432.7,4289215.686274531,3879290.1276880917
5432.71,-1838235.2941176237,-2162712.116578528
5432.72,-612745.0980391984,-1553009.6268744362
5432.73,5514705.882352957,5584296.621308919
5432.74,6740196.078431382,5478407.636076989
5432.75,4289215.686274531,4626812.0051229475
5432.76,5514705.882352957,4051264.492527336
5432.77,-3063725.490196077,-2663560.428570119
5432.78,-7965686.274509807,-9244012.114844438
5432.79,-7965686.274509807,-7983154.196881588
5432.8,-612745.0980391984,-1267693.7849846007
5432.81,-1838235.2941176237,-2526689.3615760603
5432.82,-9191176.470588231,-9283089.225488674
5432.83,-3063725.490196077,-4073913.9036871493
5432.84,4289215.686274531,4250969.842320821
5432.85,1838235.294117652,928891.8225996485
5432.86,-612745.0980391984,-756387.3354934821
5432.87,10416666.666666687,9484607.103874832
5432.88,12867647.058823535,12942358.899288327
5432.89,612745.0980392268,-712966.3391898746
5432.9,-10416666.666666657,-9890224.530384902
5432.91,-5514705.882352928,-7166560.391391684
5432.92,-6740196.078431353,-6121058.742694748
5432.93,-6740196.078431353,-8196725.384926971
5432.94,-11642156.862745082,-11428127.416287292
5432.95,-11642156.862745082,-12560672.95551258
5432.96,-7965686.274509807,-8290463.072371043
5432.97,-4289215.686274502,-4772161.034606422
5432.98,-3063725.490196077,-3702497.5243874416
5432.99,-1838235.2941176237,-2127000.6892806124
5433.0,3063725.490196077,2323695.4215889056
5433.01,7965686.274509807,7711084.283790231
5433.02,4289215.686274531,3535731.923524688
5433.03,-4289215.686274502,-4550377.021073774
5433.04,-612745.0980391984,-1315068.883438987
5433.05,4289215.686274531,3940727.84734455
5433.06,1838235.294117652,1254908.1938784127
5433.07,-1838235.2941176237,-2304197.2728471416
5433.08,-6740196.078431353,-7207587.883593375
5433.09,-12867647.058823507,-13394509.966709448
5433.1,-14093137.25490196,-14584833.09852436
5433.11,-12867647.058823507,-13260232.706359694
5433.12,-6740196.078431353,-7462029.8205089895
5433.13,612745.0980392268,475191.57248386403
5433.14,-3063725.490196077,-4000306.895196787
