time_s,raw_uV,preproc_uV
5430.61,-4289215.686274502,-8216351.56014445
5430.62,-612745.0980391984,-4231290.393504857
5430.63,-1838235.2941176237,213397.14002338782
5430.64,1838235.294117652,4600672.265952633
5430.65,7965686.274509807,8516659.265432563
5430.66,12867647.058823535,11722429.158323437
5430.67,14093137.25490196,14153413.727043916
5430.68,18995098.03921569,15872461.063084135
5430.69,16544117.64705884,16994557.790689982
5430.7,16544117.64705884,17624414.1218243
5430.71,15318627.450980416,17827055.512584526
5430.72,17769607.843137264,17639294.413301256
5430.73,16544117.64705884,17109696.367018487
5430.74,18995098.03921569,16326773.049872901
5430.75,18995098.03921569,15423957.833335016
5430.76,11642156.86274511,14549518.179828005
5430.77,12867647.058823535,13813956.960230036
5430.78,12867647.058823535,13243881.59629126
5430.79,10416666.666666687,12775795.020345213
5430.8,11642156.86274511,12289750.277078975
5430.81,15318627.450980416,11680746.488743583
5430.82,16544117.64705884,10935208.834073178
5430.83,6740196.078431382,10173253.28884095
5430.84,4289215.686274531,9619918.935433742
5430.85,7965686.274509807,9512971.495762391
5430.86,14093137.25490196,9980486.321639402
5430.87,12867647.058823535,10934415.455353511
5430.88,11642156.86274511,12040538.011822317
5430.89,12867647.058823535,12780387.114833541
5430.9,11642156.86274511,12608057.714988995
5430.91,10416666.666666687,11147187.134279538
5430.92,4289215.686274531,8347288.466142792
5430.93,6740196.078431382,4535858.805042498
5430.94,3063725.490196077,348242.73830871144
5430.95,1838235.294117652,-3453512.868158562
5430.96,-11642156.862745082,-6212356.292851317
5430.97,-6740196.078431353,-7575278.992417399
5430.98,-11642156.862745082,-7585205.986619997
5430.99,-10416666.666666657,-6641530.430213709
5431.0,-3063725.490196077,-5341987.065036962
5431.01,5514705.882352957,-4270729.4741371535
5431.02,-4289215.686274502,-3806813.2559366
5431.03,-10416666.666666657,-4017015.611693001
5431.04,-4289215.686274502,-4675594.053221188
5431.05,-6740196.078431353,-5381550.40184048
5431.06,-6740196.078431353,-5729644.196416587
5431.07,-5514705.882352928,-5464716.384030185
5431.08,1838235.294117652,-4566721.755183924
5431.09,-6740196.078431353,-3245413.482316206
5431.1,-3063725.490196077,-1846353.5087281468
5431.11,-612745.0980391984,-717802.6006433002
5431.12,1838235.294117652,-93974.16504188483
5431.13,-612745.0980391984,-29272.872734891655
5431.14,-612745.0980391984,-392132.5977292005
5431.15,-5514705.882352928,-924471.7385063552
5431.16,612745.0980392268,-1345029.8197672383
5431.17,-612745.0980391984,-1445469.5365781416
5431.18,612745.0980392268,-1154769.6350284645
5431.19,-612745.0980391984,-556445.7370485254
5431.2,3063725.490196077,142049.0253757718
5431.21,-4289215.686274502,680535.2053285576
5431.22,-612745.0980391984,828296.7581776308
5431.23,612745.0980392268,461691.8368440661
5431.24,-612745.0980391984,-382392.894980585
5431.25,-612745.0980391984,-1503226.4505997868
5431.26,-1838235.2941176237,-2583710.2328558606
5431.27,612745.0980392268,-3272706.29751036
5431.28,-3063725.490196077,-3284273.0938110035
5431.29,-7965686.274509807,-2489364.1590237767
5431.3,-4289215.686274502,-975457.610923756
5431.31,1838235.294117652,962363.0111383717
5431.32,6740196.078431382,2896540.0334954713
5431.33,4289215.686274531,4379144.261474157
5431.34,6740196.078431382,5070244.258172647
5431.35,1838235.294117652,4840103.9936356675
5431.36,6740196.078431382,3804919.1369824414
5431.37,-612745.0980391984,2284985.728703607
5431.38,-4289215.686274502,701967.233103197
5431.39,3063725.490196077,-554319.7982743515
5431.4,612745.0980392268,-1245280.1221267038
5431.41,-612745.0980391984,-1340488.0287757295
5431.42,-612745.0980391984,-996993.0570771628
5431.43,-612745.0980391984,-475400.7713041233
5431.44,-6740196.078431353,-18745.656891710372
5431.45,1838235.294117652,249043.22805045397
5431.46,3063725.490196077,365901.1736811273
5431.47,5514705.882352957,495204.69109111873
5431.48,-4289215.686274502,833912.9037170217
5431.49,-3063725.490196077,1496585.8907429595
5431.5,5514705.882352957,2424640.746296065
5431.51,6740196.078431382,3370830.2741719773
5431.52,612745.0980392268,3966162.838179714
5431.53,1838235.294117652,3845929.70021079
5431.54,7965686.274509807,2788452.507264858
5431.55,612745.0980392268,817581.6806254921
5431.56,-6740196.078431353,-1767890.1132652992
5431.57,-6740196.078431353,-4463970.878874522
5431.58,-5514705.882352928,-6710044.960250872
5431.59,-1838235.2941176237,-8057489.101554374
5431.6,-7965686.274509807,-8301096.261583151
5431.61,-11642156.862745082,-7527900.978338052
5431.62,-9191176.470588231,-6071500.534167653
5431.63,-1838235.2941176237,-4383001.610735569
5431.64,-4289215.686274502,-2873758.70075077
5431.65,-3063725.490196077,-1782718.32146228
5431.66,612745.0980392268,-1120350.251394083
5431.67,3063725.490196077,-694672.7783917321
5431.68,-1838235.2941176237,-214275.45468284714
5431.69,1838235.294117652,580764.8482049092
5431.7,-4289215.686274502,1812772.9374417427
5431.71,612745.0980392268,3426802.5575050274
5431.72,6740196.078431382,5214846.082042203
5431.73,12867647.058823535,6897583.704008637
5431.74,10416666.666666687,8224733.076063886
5431.75,5514705.882352957,9056518.039586699
5431.76,4289215.686274531,9390953.83988424
5431.77,11642156.86274511,9337328.780876499
5431.78,11642156.86274511,9057346.62167551
5431.79,5514705.882352957,8697361.258512529
5431.8,6740196.078431382,8347626.275520096
5431.81,10416666.666666687,8043022.5476276465
5431.82,9191176.470588261,7795217.482673751
5431.83,6740196.078431382,7636242.263774802
5431.84,6740196.078431382,7648023.958399083
5431.85,7965686.274509807,7958987.626839875
5431.86,6740196.078431382,8705874.27152152
5431.87,11642156.86274511,9982472.403577127
5431.88,12867647.058823535,11788533.134987116
5431.89,10416666.666666687,14005879.346447926
5431.9,14093137.25490196,16416458.650540505
5431.91,22671568.627450995,18741333.970155526
5431.92,25122549.019607846,20697404.582285885
5431.93,18995098.03921569,22052600.83799054
5431.94,18995098.03921569,22652579.26320063
5431.95,23897058.82352942,22422610.065823555
5431.96,20220588.235294145,21357276.92362168
5431.97,15318627.450980416,19506960.15333548
5431.98,22671568.627450995,16969333.598054312
5431.99,15318627.450980416,13888933.035214083
5432.0,9191176.470588261,10457721.10470882
5432.01,6740196.078431382,6911814.21570007
5432.02,3063725.490196077,3514637.2258660337
5432.03,-3063725.490196077,518996.0040879971
5432.04,-4289215.686274502,-1872735.3280177738
5432.05,612745.0980392268,-3543536.2456529224
5432.06,-4289215.686274502,-4473200.781835385
5432.07,-3063725.490196077,-4725368.802830147
5432.08,-3063725.490196077,-4420328.301140415
5432.09,-7965686.274509807,-3697403.0258767493
5432.1,-4289215.686274502,-2687855.910367431
5432.11,-5514705.882352928,-1504265.340460469
5432.12,5514705.882352957,-246796.30753019956
5432.13,1838235.294117652,987446.2522684224
5432.14,3063725.490196077,2091656.1322214822
5432.15,3063725.490196077,2958548.11268591
5432.16,-1838235.2941176237,3506042.595587115
5432.17,1838235.294117652,3712704.000504943
5432.18,3063725.490196077,3634100.1471093525
5432.19,9191176.470588261,3396483.4378609625
5432.2,7965686.274509807,3166573.0262322584
5432.21,-3063725.490196077,3100345.9290790143
5432.22,-1838235.2941176237,3291154.4564380543
5432.23,4289215.686274531,3728916.8487760974
5432.24,6740196.078431382,4294667.127714508
5432.25,5514705.882352957,4793816.331465655
5432.26,6740196.078431382,5015353.688771394
5432.27,4289215.686274531,4798747.946184091
5432.28,612745.0980392268,4092962.9885336994
5432.29,1838235.294117652,2982621.4631304503
5432.3,3063725.490196077,1674101.263973221
5432.31,-612745.0980391984,443319.76405127114
5432.32,612745.0980392268,-434899.5254224728
5432.33,1838235.294117652,-748856.5547232468
5432.34,-1838235.2941176237,-396842.9114102601
5432.35,-3063725.490196077,592767.0135258167
5432.36,612745.0980392268,2075269.4091928264
5432.37,6740196.078431382,3828231.968645962
5432.38,5514705.882352957,5599463.056493162
5432.39,10416666.666666687,7158766.440436722
5432.4,4289215.686274531,8327195.288489413
5432.41,6740196.078431382,8990916.99963861
5432.42,7965686.274509807,9103472.025382975
5432.43,11642156.86274511,8683022.660183884
5432.44,10416666.666666687,7801888.874427855
5432.45,5514705.882352957,6569049.386066904
5432.46,1838235.294117652,5115613.419360455
5432.47,1838235.294117652,3581825.285234629
5432.48,1838235.294117652,2097184.728530042
5432.49,3063725.490196077,763890.7688399404
5432.5,-612745.0980391984,-356864.9613276195
5432.51,3063725.490196077,-1247443.2733048229
5432.52,-6740196.078431353,-1928022.1688676067
5432.53,-3063725.490196077,-2447328.082403574
5432.54,-5514705.882352928,-2872292.246731691
5432.55,-5514705.882352928,-3279363.819775134
5432.56,1838235.294117652,-3759799.761074845
5432.57,-1838235.2941176237,-4426470.730981974
5432.58,-10416666.666666657,-5412373.125236084
5432.59,-5514705.882352928,-6855604.326289639
5432.6,-7965686.274509807,-8857898.806050861
5432.61,-15318627.450980386,-11415974.99825562
5432.62,-16544117.647058811,-14357815.629977416
5432.63,-15318627.450980386,-17323534.936401505
5432.64,-18995098.03921569,-19809141.27249168
5432.65,-18995098.03921569,-21273017.17075489
5432.66,-21446078.431372542,-21296589.292999685
5432.67,-23897058.823529392,-19749101.525175214
5432.68,-15318627.450980386,-16874805.082903307
5432.69,-15318627.450980386,-13270450.517675074
5432.7,-10416666.666666657,-9735584.606647236
5432.71,-4289215.686274502,-7025267.258608534
5432.72,-7965686.274509807,-5594142.493814477
5432.73,-5514705.882352928,-5437115.268551749
5432.74,-5514705.882352928,-6090019.999657232
5432.75,-5514705.882352928,-6797341.8230126295
5432.76,-9191176.470588231,-6809959.762059227
5432.77,-5514705.882352928,-5689192.1136395475
5432.78,-5514705.882352928,-3494934.522652664
5432.79,1838235.294117652,-782717.9040135776
5432.8,1838235.294117652,1607448.2476988374
5432.81,612745.0980392268,2894195.8767391476
5432.82,-612745.0980391984,2700976.5537114516
5432.83,1838235.294117652,1246901.5189476768
5432.84,612745.0980392268,-693161.4141493925
5432.85,3063725.490196077,-2057820.5308536743
5432.86,1838235.294117652,-1904683.4734673034
5432.87,-10416666.666666657,206420.68916426436
5432.88,-612745.0980391984,4004409.2529270435
5432.89,10416666.666666687,8575982.148362022
5432.9,15318627.450980416,12675337.001435978
5432.91,17769607.843137264,15150818.847757377
5432.92,18995098.03921569,15339885.73548482
5432.93,7965686.274509807,13282171.186674073
5432.94,9191176.470588261,9671394.244584683
5432.95,3063725.490196077,5568846.835321764
5432.96,3063725.490196077,2007553.9509446046
5432.97,612745.0980392268,-352396.02578449005
5432.98,-3063725.490196077,-1393122.0741078877
5432.99,-4289215.686274502,-1487074.321461737
5433.0,612745.0980392268,-1258686.5097648734
5433.01,1838235.294117652,-1271873.3276955879
5433.02,612745.0980392268,-1786185.271597191
5433.03,-4289215.686274502,-2676267.325915206
5433.04,-10416666.666666657,-3534298.886455561
5433.05,-5514705.882352928,-3895260.0919449204
5433.06,-612745.0980391984,-3479617.6909567784
5433.07,-612745.0980391984,-2341346.327679024
5433.08,-3063725.490196077,-860328.8893669732
5433.09,1838235.294117652,410097.85047256073
5433.1,5514705.882352957,963727.7574784657
5433.11,-4289215.686274502,535652.6588097577
5433.12,-5514705.882352928,-807157.1058409502
5433.13,1838235.294117652,-2710844.0508459243
5433.14,-6740196.078431353,-4687549.169555936
5433.15,-6740196.078431353,-6306699.278467449
5433.16,-9191176.470588231,-7343019.969163754
5433.17,-7965686.274509807,-7830356.1455112845
5433.18,-4289215.686274502,-8003611.607096257
5433.19,-4289215.686274502,-8169538.091589258
5433.2,-12867647.058823507,-8569136.18212657
5433.21,-12867647.058823507,-9280848.858159892
5433.22,-12867647.058823507,-10211998.100599634
5433.23,-12867647.058823507,-11154187.857165158
5433.24,-6740196.078431353,-11874740.942246407
5433.25,-7965686.274509807,-12199229.935174957
5433.26,-15318627.450980386,-12045748.613397107
5433.27,-15318627.450980386,-11410520.796627164
5433.28,-7965686.274509807,-10327435.38096161
5433.29,-7965686.274509807,-8823401.781510355
5433.3,-10416666.666666657,-6904262.531180031
5433.31,-6740196.078431353,-4587929.611704594
5433.32,-612745.0980391984,-1957032.4361252834
5433.33,612745.0980392268,802422.1204991755
5433.34,6740196.078431382,3392761.449966856
5433.35,10416666.666666687,5453996.315343875
5433.36,612745.0980392268,6654727.797477926
