time_s,raw_uV,preproc_uV
5430.0,11642156.86274511,9943710.296153307
5430.01,7965686.274509807,6459562.640848486
5430.02,3063725.490196077,2473347.4343666174
5430.03,612745.0980392268,-1889234.8741028097
5430.04,-1838235.2941176237,-1774658.1852629278
5430.05,7965686.274509807,5332487.899549788
5430.06,5514705.882352957,5195165.613269301
5430.07,3063725.490196077,1146053.86720019
5430.08,3063725.490196077,2027324.606376291
5430.09,6740196.078431382,5301284.731860145
5430.1,9191176.470588261,8030195.228997238
5430.11,3063725.490196077,1451332.9057866763
5430.12,-3063725.490196077,-3945265.321948526
5430.13,3063725.490196077,1324045.360638711
5430.14,3063725.490196077,1977819.9185540392
5430.15,1838235.294117652,696345.6776606049
5430.16,5514705.882352957,3563339.0232416512
5430.17,3063725.490196077,2859625.332596985
5430.18,5514705.882352957,2793153.1204348593
5430.19,5514705.882352957,5733615.727917014
5430.2,9191176.470588261,6481369.355435985
5430.21,7965686.274509807,7798682.070475653
5430.22,9191176.470588261,7081278.479703794
5430.23,1838235.294117652,1106861.7160576687
5430.24,5514705.882352957,3714386.4671724425
5430.25,12867647.058823535,12238127.497822972
5430.26,14093137.25490196,11757213.813144047
5430.27,9191176.470588261,9401332.396175466
5430.28,9191176.470588261,5956151.013996406
5430.29,-612745.0980391984,301764.04212647956
5430.3,3063725.490196077,-411438.1955664794
5430.31,-3063725.490196077,-2455538.942536956
5430.32,-612745.0980391984,-3288341.412415841
5430.33,4289215.686274531,3763391.1174759557
5430.34,11642156.86274511,10196852.441042688
5430.35,11642156.86274511,10028802.933016306
5430.36,4289215.686274531,3680142.8592051957
5430.37,1838235.294117652,-292174.18434082175
5430.38,4289215.686274531,3945850.3757639234
5430.39,9191176.470588261,6956340.941533327
5430.4,7965686.274509807,7656234.462119102
5430.41,12867647.058823535,10627291.822681433
5430.42,5514705.882352957,5187515.862965324
5430.43,-3063725.490196077,-5233174.828656955
5430.44,-612745.0980391984,-1029738.9316467027
5430.45,6740196.078431382,4684554.7344433805
5430.46,-3063725.490196077,-3525829.3779579927
5430.47,-1838235.2941176237,-3973925.168031046
5430.48,4289215.686274531,4092333.50773663
5430.49,3063725.490196077,519931.83038141864
5430.5,-9191176.470588231,-8947422.458221411
5430.51,-15318627.450980386,-18132752.917113807
5430.52,-17769607.84313724,-17543311.76122212
5430.53,4289215.686274531,1903191.3987277967
