time_s,raw_uV,preproc_uV
5430.0,5514705.882352957,3621895.967487376
5430.01,12867647.058823535,9460916.045905964
5430.02,15318627.450980416,14431386.522866018
5430.03,10416666.666666687,6274248.360306977
5430.04,3063725.490196077,2443857.4941204367
5430.05,16544117.64705884,12681334.630171333
5430.06,16544117.64705884,15139061.237867918
5430.07,14093137.25490196,11272596.918753026
5430.08,17769607.843137264,15346579.459128685
5430.09,22671568.627450995,20635667.853223227
5430.1,26348039.2156863,23419510.88589883
5430.11,21446078.431372568,19658926.17102807
5430.12,14093137.25490196,11034329.710867424
5430.13,12867647.058823535,11222823.66687883
5430.14,22671568.627450995,19413058.56923693
5430.15,23897058.82352942,22456173.947228104
5430.16,15318627.450980416,11956020.208317261
5430.17,4289215.686274531,2795241.869838273
5430.18,12867647.058823535,9737146.41082296
5430.19,14093137.25490196,12296082.191054784
5430.2,7965686.274509807,5067586.334785754
5430.21,6740196.078431382,4921773.872300723
5430.22,7965686.274509807,4867483.589986932
5430.23,3063725.490196077,1646420.0757397637
5430.24,4289215.686274531,706876.3513175176
5430.25,612745.0980392268,-341833.792027038
5430.26,9191176.470588261,5281184.586350041
5430.27,11642156.86274511,10844849.263417555
5430.28,6740196.078431382,2847622.7076920466
5430.29,-1838235.2941176237,-2809039.752538255
5430.3,4289215.686274531,813800.4733996235
5430.31,1838235.294117652,214848.3274954298
5430.32,1838235.294117652,-754418.1526684683
5430.33,7965686.274509807,5298145.995818858
5430.34,10416666.666666687,8891583.713034216
5430.35,5514705.882352957,2004135.8292812337
5430.36,-3063725.490196077,-4096581.6286862353
5430.37,3063725.490196077,-491069.1020449796
5430.38,3063725.490196077,1712300.8597652297
5430.39,3063725.490196077,51849.7032160552
5430.4,3063725.490196077,1155239.7529534267
5430.41,4289215.686274531,1720075.4513055522
5430.42,612745.0980392268,-1557097.030525007
5430.43,-4289215.686274502,-6697270.816344527
5430.44,-4289215.686274502,-6541742.827627564
5430.45,-3063725.490196077,-5386941.506101379
5430.46,-10416666.666666657,-12670908.297992758
5430.47,-10416666.666666657,-12814006.77796718
5430.48,-1838235.2941176237,-3841464.096886365
5430.49,-1838235.2941176237,-4600740.022974394
5430.5,-9191176.470588231,-10799951.087315086
5430.51,-15318627.450980386,-18295684.821233183
5430.52,-17769607.84313724,-19397009.76012879
5430.53,-1838235.2941176237,-4485502.952029682
5430.54,612745.0980392268,-1509450.7381756613
5430.55,-11642156.862745082,-13811427.60314976
5430.56,-11642156.862745082,-13966681.09488335
5430.57,-11642156.862745082,-13912166.860036207
5430.58,-20220588.235294115,-22126566.74283764
5430.59,-21446078.431372542,-24194366.23633704
5430.6,-20220588.235294115,-21753795.231353503
5430.61,-17769607.84313724,-20545094.016612913
5430.62,-16544117.647058811,-18388079.74126757
5430.63,-11642156.862745082,-13848227.582561618
5430.64,-9191176.470588231,-11616771.757898541
5430.65,-7965686.274509807,-9758689.906543246
5430.66,612745.0980392268,-1915373.1216524022
5430.67,5514705.882352957,3550822.6183900186
5430.68,4289215.686274531,2140880.603344011
5430.69,3063725.490196077,724043.2774989796
5430.7,4289215.686274531,2476882.4617877393
5430.71,7965686.274509807,5396750.529183933
5430.72,5514705.882352957,3908329.163290531
5430.73,7965686.274509807,5246556.991318725
5430.74,16544117.64705884,15112921.557751443
5430.75,20220588.235294145,17416241.58323383
5430.76,14093137.25490196,12577138.963696131
5430.77,16544117.64705884,14166096.437263353
5430.78,18995098.03921569,16717781.750123702
5430.79,16544117.64705884,15244051.849335365
5430.8,17769607.843137264,14375661.40121614
5430.81,16544117.64705884,16233444.06172284
5430.82,16544117.64705884,12588853.214143498
5430.83,1838235.294117652,1641944.9428494975
5430.84,612745.0980392268,-2949280.4631308527
5430.85,-3063725.490196077,-3863403.0065801805
5430.86,-1838235.2941176237,-4708684.450075452
5430.87,1838235.294117652,538651.1962834782
5430.88,1838235.294117652,-681839.5717418606
