time_s,raw_uV,preproc_uV
5431.72,11642156.86274511,10495921.171278154
5431.73,1838235.294117652,2048239.5529588615
5431.74,9191176.470588261,7610743.452992471
5431.75,9191176.470588261,9565619.071061289
5431.76,12867647.058823535,11496307.394816643
5431.77,14093137.25490196,13940327.962700102
5431.78,10416666.666666687,9828697.463029217
5431.79,7965686.274509807,6995100.2306550015
5431.8,9191176.470588261,9303846.306512646
5431.81,11642156.86274511,10302601.972434573
5431.82,9191176.470588261,9277772.163646337
5431.83,6740196.078431382,5861870.312407764
5431.84,1838235.294117652,1216431.9154423976
5431.85,3063725.490196077,3009292.65917904
5431.86,7965686.274509807,6693800.367162851
5431.87,4289215.686274531,4564956.106025433
5431.88,612745.0980392268,-524951.5267428246
5431.89,-4289215.686274502,-4530146.072816417
5431.9,-612745.0980391984,-949214.9161642186
5431.91,5514705.882352957,4495345.575373083
5431.92,1838235.294117652,2057359.8986759558
5431.93,1838235.294117652,660728.4497048098
5431.94,5514705.882352957,5536568.208539581
5431.95,10416666.666666687,9704336.045799335
5431.96,9191176.470588261,8730976.307667173
5431.97,9191176.470588261,8809835.761793897
5431.98,12867647.058823535,12392544.473220984
5431.99,7965686.274509807,7347485.299986128
5432.0,-3063725.490196077,-3110014.1895744745
5432.01,-4289215.686274502,-5302729.897411517
5432.02,-3063725.490196077,-2807056.5670731454
5432.03,-1838235.2941176237,-2957210.8058445654
5432.04,-4289215.686274502,-4068170.1646056185
5432.05,1838235.294117652,919399.9204071935
5432.06,6740196.078431382,6655965.822738491
5432.07,-612745.0980391984,-1095615.586864898
5432.08,-10416666.666666657,-11041844.401057307
5432.09,-10416666.666666657,-10222318.450321978
5432.1,-6740196.078431353,-8019196.536872586
5432.11,-4289215.686274502,-3577578.247406543
5432.12,4289215.686274531,2820371.104036468
5432.13,1838235.294117652,2322978.7859791387
5432.14,-612745.0980391984,-1454163.8049364442
5432.15,-3063725.490196077,-3355020.837836074
5432.16,3063725.490196077,2934758.6658916
5432.17,11642156.86274511,11002110.752617206
5432.18,7965686.274509807,7692152.31405388
5432.19,4289215.686274531,4286654.184313115
5432.2,4289215.686274531,3121353.6153226346
5432.21,-612745.0980391984,291649.034079688
5432.22,10416666.666666687,8640318.292820213
5432.23,17769607.843137264,18827882.60757314
5432.24,15318627.450980416,13874295.636465274
5432.25,5514705.882352957,5891243.05514173
5432.26,6740196.078431382,6227473.341230036
5432.27,6740196.078431382,6140502.250380839
5432.28,3063725.490196077,3443085.4597030734
5432.29,6740196.078431382,5443586.146802483
5432.3,3063725.490196077,3901844.8425120395
5432.31,-5514705.882352928,-6943086.945479605
5432.32,-10416666.666666657,-9735476.194626274
5432.33,-612745.0980391984,-1549637.1413616487
5432.34,1838235.294117652,1775782.7952218337
5432.35,3063725.490196077,3002872.1322829644
5432.36,7965686.274509807,7063414.892878211
5432.37,7965686.274509807,8599912.050606508
5432.38,14093137.25490196,12757442.458415398
5432.39,17769607.843137264,18584801.89055449
5432.4,15318627.450980416,13967009.819001328
5432.41,4289215.686274531,5099267.191502923
5432.42,10416666.666666687,9051970.771951672
5432.43,16544117.64705884,17485812.413407855
5432.44,14093137.25490196,12549203.899528768
5432.45,4289215.686274531,5352033.905071867
5432.46,6740196.078431382,5265311.334738696
5432.47,1838235.294117652,2634378.980451784
5432.48,612745.0980392268,-435350.6283575964
5432.49,-612745.0980391984,-208862.11849122666
5432.5,612745.0980392268,-211163.3336756762
5432.51,-3063725.490196077,-2612410.200406779
5432.52,-4289215.686274502,-5401064.312286896
5432.53,-4289215.686274502,-3428266.3215267505
5432.54,-3063725.490196077,-4489164.469588626
5432.55,-6740196.078431353,-5771362.969637371
5432.56,4289215.686274531,2989851.848722214
5432.57,612745.0980392268,1332585.242018005
5432.58,-6740196.078431353,-7810451.838355728
5432.59,-1838235.2941176237,-1186227.5498366691
5432.6,5514705.882352957,4357313.166941296
5432.61,612745.0980392268,1341464.6395088509
5432.62,612745.0980392268,-406987.6249738327
5432.63,-4289215.686274502,-4017604.6356165996
5432.64,-6740196.078431353,-6961550.27067383
5432.65,-9191176.470588231,-9867966.84631618
5432.66,-9191176.470588231,-8605465.59341353
5432.67,612745.0980392268,-445487.9820294502
5432.68,612745.0980392268,985714.2679219339
5432.69,-1838235.2941176237,-2160239.5831034607
5432.7,-1838235.2941176237,-2435918.1427913187
5432.71,-612745.0980391984,-85829.70641897502
5432.72,5514705.882352957,4467249.85145812
5432.73,3063725.490196077,3490084.0848384877
5432.74,-612745.0980391984,-1077771.1813198857
5432.75,-612745.0980391984,-1028315.4311513564
5432.76,612745.0980392268,967499.9281257228
5432.77,-1838235.2941176237,-2835760.649174028
5432.78,-12867647.058823507,-12251352.314223414
5432.79,-12867647.058823507,-13822407.550839748
5432.8,-6740196.078431353,-6339233.391110336
5432.81,-3063725.490196077,-3727641.434657945
5432.82,-7965686.274509807,-7888823.527029052
5432.83,-9191176.470588231,-9520303.401783902
5432.84,-4289215.686274502,-4565380.641548766
5432.85,-5514705.882352928,-5551859.480112784
5432.86,-10416666.666666657,-10849285.77593088
5432.87,4289215.686274531,4178334.811517388
5432.88,17769607.843137264,17666963.9244898
5432.89,1838235.294117652,1151360.0750115574
5432.9,-6740196.078431353,-6209800.661119088
5432.91,7965686.274509807,6812439.390667032
5432.92,6740196.078431382,7391281.035497132
5432.93,1838235.294117652,933145.3298613601
5432.94,-3063725.490196077,-2931327.953062789
5432.95,-3063725.490196077,-3380122.965715582
5432.96,1838235.294117652,1512563.871523058
5432.97,-612745.0980391984,-752242.5059152376
5432.98,-4289215.686274502,-4568268.6438400885
5432.99,-612745.0980391984,-901233.6312796716
5433.0,1838235.294117652,1611883.2009898943
5433.01,612745.0980392268,453153.6826887956
5433.02,-6740196.078431353,-7300245.692777616
5433.03,-16544117.647058811,-16331319.046979396
5433.04,-14093137.25490196,-14898732.49320761
5433.05,-9191176.470588231,-9023624.763421392
