stage,cca_corr1_mean,cca_corr1_std,cca_corr1_count,cca_corr2_mean,cca_corr2_std,cca_corr2_count
N1,0.6925160457002028,0.1253973214195069,2850,0.47042663427314535,0.13861869548759656,2850
N2,0.7805686049399773,0.10539622652432398,14326,0.5517472060374305,0.1332865406013356,14326
N3,0.865349362855643,0.06782947899292457,1212,0.6478148747596622,0.10713080730209433,1212
R,0.6938961700628047,0.11970651201831779,4296,0.45217337767884397,0.11977883536063091,4296
W,0.6265985721664055,0.1968992348469907,6182,0.39174022858645924,0.17281272378542184,6182
