time_sec,cca_corr1,cca_corr2,subject,stage,time_bin
0.0,0.622151238231872,0.4997180364409374,apples-240021,W,
30.0,0.5860242074747127,0.3287884915211775,apples-240021,W,"(0.0, 600.0]"
60.0,0.6682605597810478,0.3096076284314161,apples-240021,W,"(0.0, 600.0]"
90.0,0.5998157764382739,0.4512589878433761,apples-240021,W,"(0.0, 600.0]"
120.0,0.6716589643494727,0.5812973387235726,apples-240021,W,"(0.0, 600.0]"
150.0,0.8826905768644487,0.7841592301580466,apples-240021,W,"(0.0, 600.0]"
180.0,0.993478539049568,0.9824148893422728,apples-240021,W,"(0.0, 600.0]"
210.0,0.8196550283206888,0.1457432596464628,apples-240021,W,"(0.0, 600.0]"
240.0,0.3628387868464074,0.3511042945878652,apples-240021,W,"(0.0, 600.0]"
270.0,0.5417399999446099,0.1291373868718912,apples-240021,W,"(0.0, 600.0]"
300.0,0.7119290796741197,0.4212787261314354,apples-240021,W,"(0.0, 600.0]"
330.0,0.677715377130939,0.3812584463961019,apples-240021,W,"(0.0, 600.0]"
360.0,0.7882848482740757,0.4597632086186486,apples-240021,W,"(0.0, 600.0]"
390.0,0.8510698752618785,0.2804847705210632,apples-240021,W,"(0.0, 600.0]"
420.0,0.8624715292277456,0.3708938680738658,apples-240021,W,"(0.0, 600.0]"
450.0,0.8380401992491803,0.2441798181015361,apples-240021,W,"(0.0, 600.0]"
480.0,0.6219453195345648,0.3223403721887913,apples-240021,W,"(0.0, 600.0]"
510.0,0.6913198928128035,0.4462444866705655,apples-240021,W,"(0.0, 600.0]"
540.0,0.7160502328213165,0.5575238671138025,apples-240021,W,"(0.0, 600.0]"
570.0,0.722235376480299,0.3512780520226505,apples-240021,W,"(0.0, 600.0]"
600.0,0.784449050046467,0.3711511035568521,apples-240021,W,"(0.0, 600.0]"
630.0,0.8031593755881326,0.4794577355168966,apples-240021,W,"(600.0, 1200.0]"
660.0,0.5969224673193209,0.3060564175720012,apples-240021,W,"(600.0, 1200.0]"
690.0,0.6334969213130702,0.4267633001787219,apples-240021,W,"(600.0, 1200.0]"
720.0,0.6563201708992575,0.6002580655683546,apples-240021,W,"(600.0, 1200.0]"
750.0,0.8278372640950827,0.684820888815711,apples-240021,W,"(600.0, 1200.0]"
780.0,0.6286568142098011,0.3105259411663461,apples-240021,W,"(600.0, 1200.0]"
810.0,0.7352402798733984,0.2287576214336923,apples-240021,W,"(600.0, 1200.0]"
840.0,0.5293464255610848,0.4766359551837481,apples-240021,W,"(600.0, 1200.0]"
870.0,0.6337097749363886,0.4785986893800578,apples-240021,W,"(600.0, 1200.0]"
900.0,0.6704793089441018,0.417754187213693,apples-240021,W,"(600.0, 1200.0]"
930.0,0.5505557140812609,0.2544008426055587,apples-240021,W,"(600.0, 1200.0]"
960.0,0.6256521073183252,0.4527227416583936,apples-240021,W,"(600.0, 1200.0]"
990.0,0.606604542192009,0.3862887396817964,apples-240021,W,"(600.0, 1200.0]"
1020.0,0.6535670588372574,0.4158415258142625,apples-240021,W,"(600.0, 1200.0]"
1050.0,0.6424860353521752,0.5443844925145398,apples-240021,W,"(600.0, 1200.0]"
1080.0,0.7170063507727208,0.444607093649843,apples-240021,W,"(600.0, 1200.0]"
1110.0,0.5013583721874662,0.3017440890434387,apples-240021,W,"(600.0, 1200.0]"
1140.0,0.4765484200883788,0.345758987756044,apples-240021,W,"(600.0, 1200.0]"
1170.0,0.6227219802561016,0.3151392897666623,apples-240021,W,"(600.0, 1200.0]"
1200.0,0.6740966905544693,0.4862366348213339,apples-240021,W,"(600.0, 1200.0]"
1230.0,0.7053358044695992,0.6330038062347951,apples-240021,W,"(1200.0, 1800.0]"
1260.0,0.8023574561207318,0.7354316276972691,apples-240021,W,"(1200.0, 1800.0]"
1290.0,0.8143712787795803,0.5897669954767063,apples-240021,W,"(1200.0, 1800.0]"
1320.0,0.8204921807047058,0.7316873128063451,apples-240021,W,"(1200.0, 1800.0]"
1350.0,0.7858973199594513,0.6595133477497764,apples-240021,W,"(1200.0, 1800.0]"
1380.0,0.8081402815031073,0.6237026211797051,apples-240021,W,"(1200.0, 1800.0]"
1410.0,0.8861015290620117,0.6023436903405656,apples-240021,W,"(1200.0, 1800.0]"
1440.0,0.8268210575531265,0.554518847808869,apples-240021,W,"(1200.0, 1800.0]"
1470.0,0.7792369687434597,0.6986115788630636,apples-240021,W,"(1200.0, 1800.0]"
1500.0,0.7926468750590664,0.5762055301320699,apples-240021,W,"(1200.0, 1800.0]"
1530.0,0.841677451382375,0.7465862078509083,apples-240021,W,"(1200.0, 1800.0]"
1560.0,0.6950382561079903,0.6590020647372696,apples-240021,W,"(1200.0, 1800.0]"
1590.0,0.6443131515991012,0.5117052465955622,apples-240021,W,"(1200.0, 1800.0]"
1620.0,0.7014343207386113,0.5256970575200328,apples-240021,W,"(1200.0, 1800.0]"
1650.0,0.7045744297194743,0.3894155889692112,apples-240021,W,"(1200.0, 1800.0]"
1680.0,0.6690123969784063,0.5654355878578791,apples-240021,W,"(1200.0, 1800.0]"
1710.0,0.7038608070260756,0.5157724397347773,apples-240021,W,"(1200.0, 1800.0]"
1740.0,0.6795563448550525,0.4207926058596689,apples-240021,W,"(1200.0, 1800.0]"
1770.0,0.7157758815468414,0.3467873975048289,apples-240021,W,"(1200.0, 1800.0]"
1800.0,0.6603732189999691,0.3824254290495544,apples-240021,W,"(1200.0, 1800.0]"
1830.0,0.713067213543933,0.3612506350995011,apples-240021,W,"(1800.0, 2400.0]"
1860.0,0.5450893975872687,0.3663078880140684,apples-240021,W,"(1800.0, 2400.0]"
1890.0,0.731178852994825,0.4360869886875638,apples-240021,W,"(1800.0, 2400.0]"
1920.0,0.5815918899564484,0.3221810316290233,apples-240021,W,"(1800.0, 2400.0]"
1950.0,0.7403469879882233,0.6588448536715248,apples-240021,W,"(1800.0, 2400.0]"
1980.0,0.8088198903077326,0.5995749815337005,apples-240021,W,"(1800.0, 2400.0]"
2010.0,0.6763456395078964,0.4157121167750914,apples-240021,W,"(1800.0, 2400.0]"
2040.0,0.7282757384151485,0.3715973065991524,apples-240021,W,"(1800.0, 2400.0]"
2070.0,0.6758822479364041,0.3796487275227653,apples-240021,W,"(1800.0, 2400.0]"
2100.0,0.6287089756429016,0.3573255796346471,apples-240021,W,"(1800.0, 2400.0]"
2130.0,0.7068690848380292,0.3972983530750725,apples-240021,W,"(1800.0, 2400.0]"
2160.0,0.6181129160259976,0.4579384936894634,apples-240021,W,"(1800.0, 2400.0]"
2190.0,0.6292460354028406,0.3452173582158627,apples-240021,W,"(1800.0, 2400.0]"
2220.0,0.6158412961948007,0.3852980078236652,apples-240021,W,"(1800.0, 2400.0]"
2250.0,0.7399958662376488,0.1947481779177864,apples-240021,W,"(1800.0, 2400.0]"
2280.0,0.7224807486118692,0.437735539869334,apples-240021,W,"(1800.0, 2400.0]"
2310.0,0.7191102511560366,0.5364101387569895,apples-240021,W,"(1800.0, 2400.0]"
2340.0,0.8019231455841244,0.5006531178031136,apples-240021,W,"(1800.0, 2400.0]"
