stage,time_bin,cca_corr1,cca_corr2
N1,"(31200.0, 31800.0]",0.60147556416616,0.35316431403058407
N1,"(31800.0, 32400.0]",0.6533165908380555,0.4533410726816831
N1,"(32400.0, 33000.0]",0.7040386686837101,0.39569557372854447
N1,"(33000.0, 33600.0]",,
N1,"(33600.0, 34200.0]",,
N1,"(34200.0, 34800.0]",,
N1,"(34800.0, 35400.0]",,
N2,"(0.0, 600.0]",0.8584177524299369,0.4395607861523163
N2,"(600.0, 1200.0]",0.6533585011217209,0.4181750829260489
N2,"(1200.0, 1800.0]",0.7250060136231398,0.48032370864251706
N2,"(1800.0, 2400.0]",0.7505739530193694,0.5125552017141897
N2,"(2400.0, 3000.0]",0.7659917130425457,0.5304538514966349
N2,"(3000.0, 3600.0]",0.7690512318971576,0.520893630113032
N2,"(3600.0, 4200.0]",0.784952839004511,0.541563878867759
N2,"(4200.0, 4800.0]",0.7775161421775688,0.5463444365958138
N2,"(4800.0, 5400.0]",0.7825848573447494,0.5289816406361982
N2,"(5400.0, 6000.0]",0.799646995817802,0.5685330682147837
N2,"(6000.0, 6600.0]",0.7938597714249893,0.5652384290692736
N2,"(6600.0, 7200.0]",0.792212859761486,0.5754636976093399
N2,"(7200.0, 7800.0]",0.7813808260580926,0.5605365109366907
N2,"(7800.0, 8400.0]",0.7921826797165654,0.5749666869220066
N2,"(8400.0, 9000.0]",0.799213179224773,0.5904034985067594
N2,"(9000.0, 9600.0]",0.7957898422051417,0.5902218220276061
N2,"(9600.0, 10200.0]",0.7868125346861625,0.5875499963546498
N2,"(10200.0, 10800.0]",0.7855730681825316,0.5645975207014414
N2,"(10800.0, 11400.0]",0.7876930370965544,0.5602281718422133
N2,"(11400.0, 12000.0]",0.7883659740311455,0.5504005409711084
N2,"(12000.0, 12600.0]",0.7955040829759282,0.5246023271912761
N2,"(12600.0, 13200.0]",0.7872106203553193,0.5321161754429694
N2,"(13200.0, 13800.0]",0.7830630432848967,0.5285452266829163
N2,"(13800.0, 14400.0]",0.8008084036263257,0.5631063036213058
N2,"(14400.0, 15000.0]",0.8114122768408476,0.5588671693345485
N2,"(15000.0, 15600.0]",0.8053685199753237,0.5614855685583396
N2,"(15600.0, 16200.0]",0.8015226132716438,0.5689204923152796
N2,"(16200.0, 16800.0]",0.8054895678161815,0.5580016699640467
N2,"(16800.0, 17400.0]",0.7801283344402555,0.561970948433392
N2,"(17400.0, 18000.0]",0.7786858250271466,0.5474531514799131
N2,"(18000.0, 18600.0]",0.784942594138407,0.5505333315532308
N2,"(18600.0, 19200.0]",0.7815716151892242,0.562456543067359
N2,"(19200.0, 19800.0]",0.7675971228019404,0.5656811350363256
N2,"(19800.0, 20400.0]",0.7829911567848591,0.5510027149291312
N2,"(20400.0, 21000.0]",0.7931938677502308,0.5328990708902465
N2,"(21000.0, 21600.0]",0.8006384210176609,0.5680790190175142
N2,"(21600.0, 22200.0]",0.8020737762477798,0.5613903099934605
N2,"(22200.0, 22800.0]",0.7853842021564111,0.5428321731532737
N2,"(22800.0, 23400.0]",0.7535155012183701,0.5416859660735467
N2,"(23400.0, 24000.0]",0.757084196922505,0.5477913081339898
N2,"(24000.0, 24600.0]",0.7668335617099167,0.5748659204968682
N2,"(24600.0, 25200.0]",0.7486394470150602,0.5732430974341836
N2,"(25200.0, 25800.0]",0.7667136439337284,0.5764955582347995
N2,"(25800.0, 26400.0]",0.7620464422429755,0.5504951727368975
N2,"(26400.0, 27000.0]",0.7532524935981947,0.537777048699963
N2,"(27000.0, 27600.0]",0.7657482966593273,0.5492540300200438
N2,"(27600.0, 28200.0]",0.7652094650323349,0.5357834459406787
N2,"(28200.0, 28800.0]",0.7651971762579423,0.520743338035317
N2,"(28800.0, 29400.0]",0.7492893907846259,0.5160719711509895
N2,"(29400.0, 30000.0]",0.7530675083449361,0.5502395711303879
N2,"(30000.0, 30600.0]",0.7391569046729792,0.5305204525832308
N2,"(30600.0, 31200.0]",0.712441804569234,0.509488135074801
N2,"(31200.0, 31800.0]",0.7562319356846183,0.5224949524432192
N2,"(31800.0, 32400.0]",0.753070532374565,0.5111397305504296
N2,"(32400.0, 33000.0]",0.7657872882840978,0.5087104424201182
N2,"(33000.0, 33600.0]",0.8253056378482487,0.5711154865478246
N2,"(33600.0, 34200.0]",0.8223126584622243,0.5399624950432601
N2,"(34200.0, 34800.0]",,
N2,"(34800.0, 35400.0]",,
N3,"(0.0, 600.0]",,
N3,"(600.0, 1200.0]",0.6636048868424592,0.4329674635518805
N3,"(1200.0, 1800.0]",0.8974598124840231,0.7246409247315565
N3,"(1800.0, 2400.0]",0.8509375119879911,0.6844879543554219
N3,"(2400.0, 3000.0]",0.858230353514369,0.6975145340995793
N3,"(3000.0, 3600.0]",0.8672467646892194,0.6671932668477062
N3,"(3600.0, 4200.0]",0.8469659919612069,0.6328849384034618
N3,"(4200.0, 4800.0]",0.8389177075216123,0.6178736276702442
N3,"(4800.0, 5400.0]",0.8416365550790842,0.6066540477328354
N3,"(5400.0, 6000.0]",0.8511665284340192,0.555407855140355
N3,"(6000.0, 6600.0]",0.8971299121848708,0.6271192032613815
N3,"(6600.0, 7200.0]",0.8858333933613616,0.6938353786502927
N3,"(7200.0, 7800.0]",0.892907278266049,0.6944681018045397
N3,"(7800.0, 8400.0]",0.889296119770537,0.6846032293550264
N3,"(8400.0, 9000.0]",0.8551965071659884,0.6040787554011537
N3,"(9000.0, 9600.0]",0.8739865623236344,0.618228380814003
N3,"(9600.0, 10200.0]",0.8401168077938908,0.5798105149113103
N3,"(10200.0, 10800.0]",0.850131763552191,0.6434620382690979
N3,"(10800.0, 11400.0]",0.8692813157981726,0.7353123506919523
N3,"(11400.0, 12000.0]",0.8758469427693477,0.6254963972476231
N3,"(12000.0, 12600.0]",0.9055939290765331,0.6835904361392368
N3,"(12600.0, 13200.0]",0.8964495202918829,0.6884623502943842
N3,"(13200.0, 13800.0]",0.926715923947399,0.7082422086992454
N3,"(13800.0, 14400.0]",,
N3,"(14400.0, 15000.0]",0.8957086000656077,0.7795449491087131
N3,"(15000.0, 15600.0]",0.908885522770598,0.6907588873115144
N3,"(15600.0, 16200.0]",0.8929657478848877,0.6439193791076406
N3,"(16200.0, 16800.0]",0.8903860592256231,0.6875502154358263
N3,"(16800.0, 17400.0]",0.8783494945270058,0.6247111213253446
N3,"(17400.0, 18000.0]",0.9085111065361193,0.5920462327082878
N3,"(18000.0, 18600.0]",0.8973123227126559,0.5649510503506013
N3,"(18600.0, 19200.0]",0.8907500376340558,0.5950221700234867
N3,"(19200.0, 19800.0]",0.8790377893325946,0.7250479882680602
N3,"(19800.0, 20400.0]",0.8870885474958469,0.7391271662362601
N3,"(20400.0, 21000.0]",0.9069967067730794,0.742106440095862
N3,"(21000.0, 21600.0]",0.863423875881509,0.7406998507954631
N3,"(21600.0, 22200.0]",0.8618713731539206,0.7460222159652421
N3,"(22200.0, 22800.0]",0.8563368118828394,0.7435651281065437
N3,"(22800.0, 23400.0]",0.8567523916016432,0.7318704980770989
N3,"(23400.0, 24000.0]",0.8467162636916782,0.6176893999099755
N3,"(24000.0, 24600.0]",0.7623661950477939,0.584782716064266
N3,"(24600.0, 25200.0]",0.8731677635480194,0.6890068269366606
N3,"(25200.0, 25800.0]",0.8758039052586024,0.7506363763789267
N3,"(25800.0, 26400.0]",0.8000366523631325,0.5663278681314918
N3,"(26400.0, 27000.0]",0.820170175986046,0.5918461006968424
N3,"(27000.0, 27600.0]",,
N3,"(27600.0, 28200.0]",0.6946470383687353,0.48551741250665775
N3,"(28200.0, 28800.0]",0.8820668921468514,0.6126951611067789
N3,"(28800.0, 29400.0]",0.9178587538636536,0.6917347345924348
N3,"(29400.0, 30000.0]",,
N3,"(30000.0, 30600.0]",,
N3,"(30600.0, 31200.0]",,
N3,"(31200.0, 31800.0]",,
N3,"(31800.0, 32400.0]",,
N3,"(32400.0, 33000.0]",,
N3,"(33000.0, 33600.0]",,
N3,"(33600.0, 34200.0]",,
N3,"(34200.0, 34800.0]",,
N3,"(34800.0, 35400.0]",,
R,"(0.0, 600.0]",,
R,"(600.0, 1200.0]",,
R,"(1200.0, 1800.0]",,
