subject,stage,cca_corr1_compute_entropy,cca_corr1_mean,cca_corr1_std,cca_corr1_skew,cca_corr1_kurtosis,cca_corr2_compute_entropy,cca_corr2_mean,cca_corr2_std,cca_corr2_skew,cca_corr2_kurtosis
apples-130001,N1,1.7383748786427065,0.6302675995808629,0.06984938451371597,-0.5886772425163692,1.074471918419695,2.02340861877009,0.348197817167618,0.09458321289674225,-0.1073377863286817,0.8963324423319015
apples-130001,N2,1.6760364201742706,0.6917760599404349,0.06472900958893217,-0.13074336537284745,1.2113806568410173,1.9539444682171883,0.3836244045219524,0.08529504399417233,-0.020220767038734176,0.7413013751200683
apples-130001,R,2.1555941062803283,0.7441333343178996,0.12607095618963843,0.2007810769203888,-1.3075409901393968,2.269561993696306,0.4791271574974746,0.13069709870138616,-0.5712378228301497,-0.29597272034848965
apples-130001,W,2.2008709864784977,0.6624393450240881,0.12037856368168061,-0.9005493234803735,0.7843257513315267,2.3349398206754883,0.4337869875005536,0.13810546671434504,-0.12095689647052262,-0.8196177204850557
apples-140003,N1,1.7669651304168157,0.7808441134147736,0.07200651167272448,-0.4467002331921628,0.11840361516491216,1.8946125199694788,0.6393261000805501,0.08270614991430719,-0.5849074151748199,0.6522126827469372
apples-140003,N2,1.8085081320609535,0.824176025717214,0.08171296537977546,-0.9620868884093507,0.45095436531853705,2.182178651448393,0.6782819467161754,0.11486852520816838,-0.8184841841174543,1.3826274488374226
apples-140003,N3,1.0986122886940588,0.8799673294331903,0.04131801828911385,-0.580501983793558,-1.3088126813011907,1.0114042647334027,0.7136050211621722,0.05452931699532805,0.8925858287006135,-0.11517504819292457
apples-140003,R,2.0515786863067955,0.747695168669089,0.1012716801693317,-0.8004382955844466,1.2832574556671235,2.165549942611877,0.489495763153672,0.11007260303238493,-0.18470769551516775,0.016222023931382168
apples-140003,W,2.0116637709506393,0.7256811678084488,0.09983258761982848,-0.8537972913017059,1.4106095017874232,2.4335932474988464,0.4847341267311965,0.15478627155403044,-0.4881007852959544,-0.6842068737533911
apples-140004,N1,2.196518175298796,0.6918886791325687,0.13280759146119572,-0.5257466914280675,0.17889891016445958,2.1122589734664157,0.43129709506951247,0.11679225858409649,-0.8579652363706467,0.10147334955171239
apples-140004,N2,1.596867881577796,0.7237038985454023,0.06107690660879486,-0.6880251860862195,0.28625893112731093,2.0183157481997744,0.42453192764351566,0.09214272677223326,-0.5667592245120014,0.011506469370591077
apples-140004,R,1.9067712235262093,0.7028482769568792,0.0933055499513215,0.6384096985391142,-0.11558782602781026,2.2466016920623613,0.4598846324977891,0.136577687198156,-0.28204584444558334,-0.9243888644862119
apples-140004,W,2.287293852359076,0.7471237380724188,0.12558492322796838,-0.48582596968565417,-0.2848775954394993,2.3573532432798983,0.4580841000121439,0.13122021599921097,-0.5487428131081203,0.10814877562894498
apples-140007,N1,1.814211043443637,0.5837836370708438,0.08195198699003119,0.39540675425100047,-0.03515233764263703,2.0985304941400305,0.368960462265244,0.10482805285029902,0.01990330118528978,-1.0143839670183716
apples-140007,N2,1.8616507375800309,0.6510627579664173,0.07901380077982213,-0.49336672559809597,0.16644075717922746,2.0786351357621937,0.45335550854063533,0.10381276396701936,-0.8150252702682342,0.7266083552397857
